ID,Legante standard,Famiglia,Legante originale,Metallo,Sale metallico,Campione,Solvente,Co-linker/Additivo,Temperatura,Tempo ore,Vial/Beuta ml,Data raw,Data ISO,MM legante,MM sale,mmol legante,mmol sale,mg legante,mg sale,Rapporto L/M,Procedura sintetica,Stato XRD,Esito/Osservazioni,IR file,XRD file,TGA file,BET,Riferimento cartella,Tag,Duplicati potenziali,Note,Sorgente_Database,mmol metallo,mg metallo,Quantita additivo,Volume solvente,Procedimento / note,IR,XRD,TGA,Caratterizzazioni presenti,Foglio origine,Riga origine,Inserito il,Note future,Esito_ML
7,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Zr,ZrCl4,MePzDC12,MeOH,,110,94,35,"30/05/2025  12,00",2025-05-30,,,0.3,,58.269,,,,N.D.,,,,,,,,1.0,,MOFs,0.3,69.912,20 ml,20 ml,"Ho pesato il legante e messo nella vial da 35 ml per la reazione solvotermal, aggiunto 12  ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 8 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C.",,,,,PzDC,87.0,,,1.0
8,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Zr,ZrCl4,MePzDC15,MeOH,,100,,35,"10/06/2025  12,00",2025-06-10,,,0.3,,58.269,,,,N.D.,,,,,,,,0.0,,MOFs,0.3,69.912,20 ml,20 ml,"Ho pesato il legante e messo nella vial da 35 ml per la reazione solvotermal, aggiunto 12  ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 8 ml di MeOH e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 100°C.",,,,,PzDC,111.0,,,1.0
9,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Zr,ZrCl4,MePzDC5,MeOH,,110,48,15,"19/05/2025  10,30",2025-05-19,,,0.15,,29.1345,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,34.956,10 ml,10 ml,"Ho pesato il legante e messo nella vial da 15 ml per la reazione solvotermal, aggiunto 5 ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 5 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C per 24h.
Dopo 5 ore soluzione ancora limpida senza nessun precipitato, dopo 24 ore si è iniziato ad intravedere un precipitato, lascio 48h, XRD molto buono, da riprovare in maggior quantità e vedere riproducibilità.",,,,,PzDC,33.0,,,1.0
10,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Zr,ZrCl4,MePzDC9,MeOH,,110,72,15,"23/05/2025  16,00",2025-05-23,,,0.15,,29.1345,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,34.956,10 ml,10 ml,"Ho pesato il legante e messo nella vial da 15 ml per la reazione solvotermal, aggiunto 5 ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 5 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C per 24h.
Dopo 5 ore soluzione ancora limpida senza nessun precipitato, dopo 24 ore si è iniziato ad intravedere un precipitato, lascio 48h, XRD molto buono, da riprovare in maggior quantità e vedere riproducibilità.",,,,,PzDC,64.0,,,1.0
11,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,Ag2O,H2BPz11,MetOH,,T.A.,24,50,"20/11/2024  10,30",2024-11-20,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,46.347,"0,5 ml",2 ml,"Ho pesato il linker e posto all'interno della beuta da 50 ml, solubilizzato con 10 ml di MetOH e lasciato in agitazione sulla piastra; ho pesato lo ione metallico e posto all'interno di una vial da 20ml e solubilizzato con 10ml di MetOH nel sonicatore. Una volta solubilizzato il sale metallico ho aggiunto sempre nella vial da 20 ml la trietilammmina ed il mesitilene. Dopo aver aggiunto tutto nella vial, l'ho travasata nella beuta da 50 ml contenente il linker in metanolo. Ho lasciato sulla piastra sotto agitazione per 24h(ricoperto la beuta con alluminio per evitare che passi la luce). Spettro IR non risoluto, praticamente impossibile caratterizzare",,,,,"3-amino-4,4′-bipyrazole",74.0,,,1.0
12,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz13,ButOH,Triethylamine,T.A.,36,20 ml,"25/11/2024  17,00",2024-11-25,,,0.15,,22.373,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,25.48,"1,5 ml",16 ml,"Ho pesato il ligando e posto all'interno di una vial da 10 ml con tappo di plastica e solubilizzato con 6 ml di DMF nel sonicatore; nel mentre il sale metallico l'ho messo all'interno di una vial da 20 ml con tappo di plastica e solubilizzato con 10 ml di DMF nel sonicatore. Una volta solubilizzato il ligando ho aggiunto 1,5ml di Et3N e poi travasato il tutto nella vial da 20 ml. Lasciato in agitazione a temperatura ambiente per 24h.",,,,,"3-amino-4,4′-bipyrazole",89.0,,,1.0
13,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz15,DMF,,110,48,15,45622.458333333336,2024-11-26,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,33.97,8 ml,"1,5 ml","Ho pesato il ligando e posto in una vial da 20 ml con tappo di plastica, ho aggiunto 4 ml di DMF e posto il tutto nel sonicatore. Nel mentre ho pesato il sale metallico e messo all'interno di una vial da 15 ml per la reazione solvotermica, ho aggiunto 4 ml di DMF e solubilizzato nel sonicatore per 5 minuti. Una volta solubilizzato tutto ho versato il contenuto della vial contenente il ligando con aggiunta di Et3N all'interno dell'altra, per poi porre il tutto in stufa a 110°C oer 48h. Nessun precipitato",,,,,"3-amino-4,4′-bipyrazole",103.0,,,1.0
14,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz17,MetOH,Triethylamine,70,72,20,"29/11/2024  15,00",2024-11-29,,,0.15,,22.373,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,25.48,"1,5 ml",16 ml,"Ho pesato il ligando e solubilizzato con 8 ml di MetOH ed aggiunto 1,5ml di Et3N all'interno della vial con tappo di plastica, nel mentre ho pesato anche il sale metallico e solubilizzato anch'esso con 8 ml di MetOH dentro un'altra vial con tappo di plastica. Una volta solubilizzati bene nel sonicatore(5 minuti) ho travasato il contentuto della vial con il ligando in quella contenente il metallo e posto tutto in stufa a 70°c. Precipitato biancastro, faccio raffreddare e lavo con metanolo ed asciugo. Fatto l'IR è praticamente sovrapponibile a H2BPz13 e H2BPz2",,,,,"3-amino-4,4′-bipyrazole",117.0,,,1.0
15,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz2,MetOH,,T.A.,24,50,45608.708333333336,2024-11-12,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,33.97,"0,5 ml",2 ml,"Ho pesato il linker e posto all'interno della beuta da 50 ml, solubilizzato con 10 ml di MetOH e lasciato in agitazione sulla piastra; ho pesato lo ione metallico e posto all'interno di una vial da 20ml e solubilizzato con 10ml di MetOH nel sonicatore. Una volta solubilizzato il sale metallico ho aggiunto sempre nella vial da 20 ml l'ammoniaca ed il mesitilene. Dopo aver aggiunto tutto nella vials l'ho travasata nella beuta da 50 ml contenente il linker in metanolo. Ho lasciato sulla piastra sotto agitazione per 24h(ricoperto la beuta con alluminio per evitare che passi la luce).",,,,,"3-amino-4,4′-bipyrazole",11.0,,,1.0
16,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz20,DMF,,120,24,20,"4/12/2024  16,00",2024-12-04,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.4,67.948,10 ml,10 ml,"Ho pesato il ligando e posto in una vial da 20 ml con tappo di plastica, ho aggiunto 5 ml di DMF e posto il tutto nel sonicatore. Nel mentre ho pesato il sale metallico e messo all'interno di una vial da 20 ml per la reazione solvotermica, ho aggiunto 5 ml di DMF e solubilizzato nel sonicatore per 5 minuti. Una volta solubilizzato tutto ho versato il contenuto della vial contenente il ligando all'interno dell'altra, per poi porre il tutto in stufa a 120°C oer 24h.",,,,,"3-amino-4,4′-bipyrazole",138.0,,,1.0
17,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,Ag2O,H2BPz22,NH3 28%,,60,24,20,"6/12/2024  11,30",2024-12-06,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,46.3462,8 ml,2 ml,"Ho pesato il legante solubilizzato in MetOH ed aggiunto 2 ml di ammoniaca all'interno di una vial con tappo di plastica; nel mentre ho pesato il metallo e solubilizzato con 4 ml di MetOH all'interno di una vial con tappo di plastica. Ho posto entrambe le vial nel sonicatore per 5 minuti, una volta solubilizzate ho travasato il contenuto di quella con il legante all'interno di quella contenente il sale metallico e poi messo il tutto in stufa per 72h a 60°C.",,,,,"3-amino-4,4′-bipyrazole",152.0,,,1.0
18,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz34,DMF/H2O,,100,96,15,"24/04/25   16,30",2025-04-24,,,0.2,,29.8306,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,33.974,8 ml/ 2 ml,8 ml/ 2 ml,"metallizzato, non buono",,,,,"3-amino-4,4′-bipyrazole",236.0,,,1.0
19,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Ag,AgNO3,H2BPz35,DMF,,100,24,35,"07/05/25   11,30",2025-05-07,,,0.4,,59.6612,,,,N.D.,,,,,,,,1.0,,MOFs,0.4,67.948,16 ml,16 ml,"Ho pesato il ligando e posto in una vial da 20 ml con tappo di plastica, ho aggiunto 4 ml di DMF e posto il tutto nel sonicatore. Nel mentre ho pesato il sale metallico e messo all'interno di una vial da 15 ml per la reazione solvotermica, ho aggiunto 4 ml di DMF e solubilizzato nel sonicatore per 5 minuti. Una volta solubilizzato tutto ho versato il contenuto della vial contenente il ligando all'interno dell'altra, per poi porre il tutto in stufa a 100°C oer 24h.",,,,,"3-amino-4,4′-bipyrazole",243.0,,,1.0
